Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost
1,Toyota,Innova,2024,CNG,Manual,2020000.0,27.3,800,4,24100.0
2,Kia,EV6,2023,Diesel,Manual,1770000.0,16.4,2500,7,18800.0
3,Maruti Suzuki,Dzire,2016,Petrol,Manual,3430000.0,17.6,2000,6,24700.0
4,Honda,Amaze,2019,Petrol,Manual,1610000.0,19.2,2500,6,23300.0
5,Honda,City,2015,Electric,Manual,1840000.0,15.8,1000,5,5800.0
6,Kia,Sonet,2020,Petrol,Manual,2780000.0,21.5,1800,7,23700.0
7,Toyota,Glanza,2019,CNG,Manual,2270000.0,29.7,1500,7,13300.0
8,Volkswagen,Taigun,2017,CNG,Manual,2770000.0,20.2,1800,4,10200.0
9,Renault,Lodgy,2015,Petrol,Manual,2180000.0,10.5,1800,5,18900.0
10,Kia,EV6,2019,CNG,Automatic,990000.0,16.1,1800,6,15400.0
11,Honda,Jazz,2022,CNG,Automatic,3010000.0,17.2,1500,4,8500.0
12,Honda,Civic,2018,Petrol,Manual,2000000.0,10.8,2000,6,7800.0
13,Renault,Kiger,2022,Petrol,Automatic,820000.0,29.6,1000,5,19100.0
14,Honda,Jazz,2022,CNG,Manual,3020000.0,25.3,2500,7,7300.0
15,Mahindra,Scorpio,2017,Diesel,Manual,1280000.0,11.1,2500,6,23300.0
16,Tata Motors,Punch,2016,Diesel,Automatic,490000.0,19.2,2500,5,7300.0
17,Toyota,Fortuner,2016,CNG,Automatic,540000.0,14.9,1000,4,9500.0
18,Skoda,Kushaq,2023,Petrol,Automatic,3360000.0,21.8,1200,7,21100.0
19,Tata Motors,Tiago,2015,CNG,Manual,910000.0,13.5,1200,6,15400.0
20,Skoda,Superb,2017,CNG,Manual,1780000.0,26.9,1200,7,24800.0
21,Honda,Jazz,2024,Diesel,Manual,1430000.0,24.8,1500,4,5600.0
22,Toyota,Fortuner,2022,Diesel,Manual,2160000.0,29.7,2000,5,22600.0
23,Toyota,Camry,2023,Electric,Automatic,2890000.0,12.2,1200,5,23500.0
24,Mahindra,XUV700,2016,Electric,Automatic,1470000.0,21.3,1500,5,8800.0
25,Toyota,Glanza,2020,Electric,Automatic,2520000.0,16.5,2000,7,5600.0
26,Tata Motors,Punch,2024,Petrol,Manual,2650000.0,29.2,1200,7,8200.0
27,Maruti Suzuki,Ertiga,2015,Electric,Automatic,940000.0,15.6,1000,4,24300.0
28,Mahindra,XUV700,2019,Electric,Manual,2770000.0,13.8,2500,6,11400.0
29,Tata Motors,Altroz,2018,Electric,Manual,2820000.0,21.4,2500,5,15500.0
30,Renault,Kiger,2022,Electric,Automatic,1200000.0,22.5,1200,4,15100.0
31,Tata Motors,Harrier,2023,Diesel,Manual,1530000.0,13.9,2500,6,13200.0
32,Kia,Carnival,2022,Diesel,Automatic,950000.0,10.1,1500,5,14800.0
33,Toyota,Innova,2018,CNG,Manual,1010000.0,25.0,800,6,12400.0
34,Honda,Amaze,2021,CNG,Automatic,2370000.0,29.4,2500,6,17000.0
35,Volkswagen,Polo,2016,CNG,Automatic,2590000.0,28.8,1500,7,12400.0
36,Maruti Suzuki,Swift,2019,Diesel,Manual,1920000.0,11.9,1500,7,16600.0
37,Kia,EV6,2020,CNG,Automatic,1990000.0,16.0,1000,7,5100.0
38,Hyundai,Verna,2019,Diesel,Automatic,1730000.0,23.0,1800,7,19300.0
39,Skoda,Slavia,2017,Diesel,Automatic,3290000.0,10.7,1800,6,6800.0
40,Toyota,Glanza,2015,Diesel,Automatic,520000.0,14.5,1800,6,8300.0
41,Tata Motors,Harrier,2021,Diesel,Manual,1260000.0,25.9,1500,4,24400.0
42,Tata Motors,Harrier,2024,Diesel,Automatic,500000.0,16.8,2000,4,14000.0
43,Tata Motors,Nexon,2022,CNG,Manual,1860000.0,19.9,1200,5,14300.0
44,Tata Motors,Punch,2021,CNG,Automatic,410000.0,12.9,1500,7,19400.0
45,Mahindra,Scorpio,2022,CNG,Automatic,1290000.0,25.9,1800,6,16600.0
46,Maruti Suzuki,Dzire,2018,CNG,Manual,2340000.0,27.6,1500,7,12200.0
47,Honda,Civic,2024,Diesel,Manual,550000.0,23.3,2000,4,14700.0
48,Honda,Amaze,2022,Petrol,Automatic,960000.0,20.7,1000,7,21400.0
49,Volkswagen,Virtus,2021,Diesel,Manual,450000.0,14.0,1200,4,8300.0
50,Volkswagen,Tiguan,2020,Petrol,Manual,3160000.0,18.7,1800,6,5500.0
51,Skoda,Octavia,2015,CNG,Automatic,2900000.0,13.5,2500,4,23600.0
52,Kia,Seltos,2023,Electric,Manual,1410000.0,12.6,2000,5,6800.0
53,Mahindra,Bolero,2019,Petrol,Automatic,2480000.0,22.0,1200,4,23400.0
54,Kia,Carnival,2020,Diesel,Manual,1320000.0,21.0,1000,6,9100.0
55,Skoda,Kushaq,2023,Electric,Automatic,430000.0,22.9,1500,6,18600.0
56,Toyota,Innova,2023,Electric,Manual,3410000.0,24.0,1500,5,16500.0
57,Toyota,Innova,2018,Electric,Manual,890000.0,24.7,1200,7,8400.0
58,Mahindra,Thar,2015,Electric,Automatic,1860000.0,25.1,2000,7,23800.0
59,Skoda,Slavia,2016,Diesel,Automatic,3070000.0,11.6,1800,5,23000.0
60,Toyota,Camry,2016,Diesel,Manual,690000.0,26.5,1200,4,21400.0
61,Hyundai,i10,2024,Petrol,Automatic,2830000.0,17.2,800,5,14500.0
62,Tata Motors,Nexon,2020,Diesel,Manual,3370000.0,11.1,800,7,11100.0
63,Mahindra,Scorpio,2016,CNG,Automatic,490000.0,29.5,1500,4,5300.0
64,Kia,Carnival,2022,Electric,Manual,2970000.0,12.8,1000,6,13100.0
65,Tata Motors,Nexon,2018,Petrol,Manual,1780000.0,13.0,2500,7,17900.0
66,Kia,Sonet,2016,Diesel,Manual,2190000.0,25.2,1200,5,7100.0
67,Skoda,Superb,2020,Diesel,Manual,2300000.0,22.6,2500,4,11700.0
68,Kia,Sonet,2020,Diesel,Automatic,2650000.0,11.4,1200,6,24700.0
69,Hyundai,Venue,2021,Electric,Automatic,1680000.0,24.1,2500,6,24000.0
70,Skoda,Rapid,2015,Electric,Automatic,1700000.0,15.8,800,4,23500.0
71,Toyota,Glanza,2023,Diesel,Automatic,1630000.0,27.1,800,4,17700.0
72,Hyundai,Creta,2020,Electric,Manual,1720000.0,23.0,2500,6,21900.0
73,Honda,WR-V,2021,Electric,Automatic,940000.0,25.7,1500,4,9900.0
74,Mahindra,Thar,2022,Diesel,Manual,3090000.0,26.2,1500,6,15800.0
75,Toyota,Glanza,2016,Diesel,Manual,3260000.0,10.2,1000,4,6300.0
76,Mahindra,XUV300,2022,Petrol,Automatic,2150000.0,13.0,1800,6,5300.0
77,Tata Motors,Punch,2019,Petrol,Manual,1720000.0,17.3,2000,5,6900.0
78,Hyundai,i20,2018,Diesel,Automatic,2070000.0,15.5,2500,5,19700.0
79,Honda,Civic,2024,Diesel,Automatic,2040000.0,27.6,2500,5,14700.0
80,Tata Motors,Altroz,2018,CNG,Manual,1990000.0,19.9,800,6,21600.0
81,Skoda,Octavia,2020,Diesel,Automatic,820000.0,28.7,2500,5,11700.0
82,Volkswagen,Taigun,2020,Diesel,Manual,1080000.0,14.3,1800,4,24200.0
83,Maruti Suzuki,Swift,2017,Petrol,Automatic,1510000.0,12.0,1000,4,14200.0
84,Toyota,Urban Cruiser,2022,Diesel,Automatic,850000.0,15.3,1800,5,10200.0
85,Skoda,Kushaq,2021,Electric,Automatic,1450000.0,27.6,1000,5,16700.0
86,Kia,Carnival,2022,Petrol,Automatic,1930000.0,19.7,2000,5,18300.0
87,Kia,EV6,2016,Diesel,Automatic,1310000.0,11.9,2000,6,22700.0
88,Renault,Lodgy,2016,CNG,Manual,520000.0,26.4,1800,5,14600.0
89,Toyota,Fortuner,2016,CNG,Manual,2560000.0,29.3,1000,4,22900.0
90,Hyundai,i20,2017,Petrol,Automatic,1790000.0,10.5,1800,7,8800.0
91,Volkswagen,Vento,2018,Electric,Manual,1770000.0,13.6,1200,5,18000.0
92,Hyundai,i20,2015,Diesel,Manual,2750000.0,22.6,1000,4,18900.0
93,Volkswagen,Taigun,2021,CNG,Manual,3240000.0,24.1,1000,4,10400.0
94,Tata Motors,Nexon,2023,Electric,Automatic,1210000.0,20.8,2000,7,9000.0
95,Toyota,Innova,2018,Electric,Manual,2360000.0,20.2,800,5,13000.0
96,Volkswagen,Polo,2018,CNG,Manual,3300000.0,10.6,1500,6,24200.0
97,Honda,Civic,2017,CNG,Automatic,1610000.0,18.2,800,4,23600.0
98,Maruti Suzuki,Baleno,2020,Diesel,Manual,1370000.0,26.0,1200,7,13400.0
99,Hyundai,Verna,2017,Diesel,Automatic,3320000.0,16.6,1000,6,10300.0
100,Hyundai,Creta,2020,Electric,Automatic,2470000.0,14.2,1000,5,23100.0
101,Toyota,Innova,2020,Diesel,Manual,2010000.0,29.9,1800,5,9200.0
102,Maruti Suzuki,Ertiga,2015,Diesel,Automatic,3270000.0,22.9,1000,4,7600.0
103,Skoda,Kushaq,2019,Petrol,Automatic,2730000.0,20.7,800,4,23300.0
104,Tata Motors,Tiago,2019,Diesel,Automatic,1930000.0,10.5,2000,6,11400.0
105,Mahindra,Thar,2021,Petrol,Manual,2390000.0,21.7,2000,4,12400.0
106,Tata Motors,Altroz,2015,Petrol,Manual,2060000.0,28.8,1800,6,10500.0
107,Toyota,Urban Cruiser,2018,Electric,Automatic,3150000.0,11.8,1500,6,17300.0
108,Skoda,Kushaq,2018,Electric,Automatic,2960000.0,16.0,2000,5,21700.0
109,Tata Motors,Nexon,2020,Diesel,Automatic,2240000.0,25.1,1000,5,13600.0
110,Kia,Carens,2022,Petrol,Manual,1370000.0,23.5,2500,7,5100.0
111,Honda,Amaze,2024,Diesel,Manual,2950000.0,18.1,800,6,6700.0
112,Honda,Amaze,2018,Diesel,Manual,2130000.0,17.8,800,5,19900.0
113,Maruti Suzuki,Baleno,2018,Electric,Manual,1330000.0,24.4,1200,7,10100.0
114,Maruti Suzuki,Ertiga,2020,Petrol,Automatic,3020000.0,20.5,1500,4,5100.0
115,Maruti Suzuki,Baleno,2023,Petrol,Manual,990000.0,27.4,800,4,16700.0
116,Maruti Suzuki,Baleno,2023,CNG,Manual,3240000.0,25.6,1000,7,13600.0
117,Hyundai,Venue,2023,Petrol,Manual,3430000.0,29.4,1000,4,23700.0
118,Honda,Amaze,2018,Electric,Manual,1280000.0,12.0,1000,7,20300.0
119,Honda,Jazz,2019,CNG,Automatic,1220000.0,11.1,1000,5,12600.0
120,Toyota,Innova,2017,Electric,Automatic,1720000.0,22.0,1800,4,20900.0
121,Kia,Sonet,2018,Diesel,Automatic,2640000.0,25.6,1500,6,5900.0
122,Honda,Jazz,2016,CNG,Automatic,1800000.0,27.7,2000,6,17400.0
123,Honda,WR-V,2023,Electric,Automatic,3470000.0,13.0,800,7,10200.0
124,Toyota,Innova,2021,Diesel,Manual,1730000.0,22.2,1200,5,21500.0
125,Skoda,Slavia,2023,Electric,Manual,2660000.0,16.9,2000,4,18400.0
126,Toyota,Urban Cruiser,2021,CNG,Automatic,2960000.0,16.7,2000,5,8300.0
127,Renault,Lodgy,2023,Petrol,Automatic,1460000.0,28.7,2000,6,23200.0
128,Honda,City,2017,Electric,Manual,3360000.0,26.0,1500,5,8000.0
129,Skoda,Kushaq,2018,Diesel,Automatic,2890000.0,22.0,1800,5,22900.0
130,Renault,Kiger,2015,Petrol,Manual,1490000.0,19.2,1200,7,16500.0
131,Kia,EV6,2023,Diesel,Automatic,1420000.0,29.6,1500,6,18400.0
132,Renault,Kwid,2019,CNG,Automatic,1040000.0,12.2,1200,7,9500.0
133,Mahindra,Scorpio,2019,Diesel,Manual,1300000.0,27.8,2000,4,23200.0
134,Maruti Suzuki,Dzire,2024,CNG,Manual,3370000.0,25.8,1200,7,11500.0
135,Skoda,Rapid,2023,Diesel,Automatic,2040000.0,27.0,2000,7,13600.0
136,Honda,Civic,2019,Petrol,Manual,2190000.0,17.4,800,7,10200.0
137,Tata Motors,Harrier,2021,Petrol,Automatic,2520000.0,25.7,2500,4,19800.0
138,Kia,Carnival,2024,Diesel,Manual,1820000.0,23.9,2000,5,20800.0
139,Mahindra,XUV700,2017,Diesel,Automatic,480000.0,17.5,2500,6,24900.0
140,Hyundai,Verna,2021,Electric,Manual,2480000.0,20.8,800,5,5500.0
141,Skoda,Kushaq,2024,CNG,Automatic,2490000.0,27.8,1500,7,7500.0
142,Maruti Suzuki,Ertiga,2015,CNG,Automatic,2860000.0,28.0,1500,5,16700.0
143,Honda,City,2018,Electric,Automatic,3370000.0,14.4,1200,6,15300.0
144,Kia,Carens,2022,CNG,Automatic,2010000.0,22.7,2000,6,16900.0
145,Honda,City,2018,CNG,Manual,1610000.0,17.7,1000,6,12300.0
146,Skoda,Superb,2024,Electric,Manual,2440000.0,17.7,1500,6,6400.0
147,Honda,Civic,2022,Diesel,Automatic,2700000.0,18.1,1800,5,22900.0
148,Toyota,Glanza,2017,Electric,Manual,3190000.0,27.7,1800,4,21100.0
149,Renault,Duster,2023,Petrol,Manual,3440000.0,17.9,1200,7,6600.0
150,Volkswagen,Vento,2018,Electric,Manual,1430000.0,24.6,1500,4,8000.0
151,Volkswagen,Polo,2023,CNG,Manual,3310000.0,24.2,2000,4,23300.0
152,Mahindra,XUV700,2024,Petrol,Automatic,2120000.0,24.9,1800,7,23500.0
153,Volkswagen,Polo,2016,Diesel,Automatic,3120000.0,19.5,1000,7,9400.0
154,Honda,Civic,2022,Electric,Automatic,1140000.0,29.9,800,5,11600.0
155,Renault,Lodgy,2023,Diesel,Automatic,1410000.0,19.1,2000,6,8200.0
156,Hyundai,i20,2023,Electric,Manual,2800000.0,23.4,800,5,16600.0
157,Skoda,Superb,2023,Electric,Automatic,3300000.0,10.6,2500,4,9600.0
158,Volkswagen,Taigun,2016,Electric,Manual,1330000.0,10.9,1800,7,22900.0
159,Kia,Sonet,2015,Petrol,Automatic,1750000.0,23.3,1200,4,13100.0
160,Kia,Seltos,2019,CNG,Automatic,1980000.0,18.8,2500,4,10400.0
161,Mahindra,Bolero,2023,Petrol,Manual,3400000.0,29.7,1200,5,15800.0
162,Kia,Seltos,2023,CNG,Manual,2860000.0,26.7,1000,4,9600.0
163,Skoda,Kushaq,2024,Electric,Automatic,2250000.0,21.4,1800,6,23800.0
164,Honda,Amaze,2023,Diesel,Automatic,590000.0,28.0,1500,4,13000.0
165,Volkswagen,Vento,2019,CNG,Manual,2350000.0,21.7,1500,4,16300.0
166,Mahindra,XUV700,2016,Petrol,Automatic,3460000.0,10.9,1800,6,12800.0
167,Renault,Kiger,2015,Petrol,Manual,2270000.0,16.9,800,4,12200.0
168,Renault,Kwid,2024,Petrol,Manual,1460000.0,18.4,1200,6,17100.0
169,Toyota,Glanza,2015,Diesel,Manual,970000.0,15.9,2500,7,21400.0
170,Renault,Kiger,2017,Electric,Automatic,3390000.0,24.5,800,5,23000.0
171,Mahindra,XUV300,2021,Diesel,Automatic,430000.0,22.4,1800,4,18100.0
172,Renault,Kwid,2018,CNG,Manual,2020000.0,10.4,1000,4,11600.0
173,Mahindra,Scorpio,2015,Electric,Manual,1920000.0,26.0,1500,7,5500.0
174,Mahindra,Scorpio,2016,Electric,Manual,2640000.0,16.3,2500,5,24600.0
175,Maruti Suzuki,Ertiga,2016,CNG,Automatic,3100000.0,19.5,1200,5,15300.0
176,Hyundai,i10,2019,CNG,Manual,1540000.0,12.1,1500,7,11900.0
177,Skoda,Superb,2015,CNG,Manual,2390000.0,22.7,1000,6,16100.0
178,Volkswagen,Vento,2022,Petrol,Automatic,1030000.0,11.1,2500,7,16700.0
179,Mahindra,Bolero,2016,CNG,Manual,550000.0,10.4,1000,7,24200.0
180,Volkswagen,Vento,2022,Petrol,Manual,2270000.0,24.3,2500,6,24700.0
181,Toyota,Urban Cruiser,2019,Petrol,Manual,590000.0,16.3,2500,6,24000.0
182,Maruti Suzuki,Baleno,2021,Electric,Automatic,980000.0,27.8,1800,7,16900.0
183,Kia,Carens,2021,Electric,Automatic,500000.0,29.6,1800,6,12800.0
184,Hyundai,Verna,2022,Electric,Automatic,2040000.0,28.2,1500,7,18900.0
185,Toyota,Innova,2015,Electric,Manual,1540000.0,25.9,1200,4,24600.0
186,Tata Motors,Tiago,2016,Electric,Manual,1840000.0,12.6,800,7,24600.0
187,Honda,Amaze,2020,Diesel,Manual,3150000.0,22.0,1000,4,22600.0
188,Kia,Seltos,2015,Petrol,Manual,1290000.0,23.9,1000,7,17000.0
189,Volkswagen,Polo,2017,CNG,Automatic,2610000.0,14.0,1800,7,9800.0
190,Kia,EV6,2019,Diesel,Automatic,2780000.0,23.6,1000,5,14100.0
191,Tata Motors,Tiago,2017,Petrol,Manual,1840000.0,29.7,1500,6,15500.0
192,Renault,Triber,2021,Diesel,Automatic,2710000.0,18.6,1500,4,7300.0
193,Mahindra,Bolero,2021,Petrol,Manual,1930000.0,10.1,1800,4,6700.0
194,Hyundai,Creta,2019,Electric,Automatic,1510000.0,13.7,800,6,10200.0
195,Hyundai,Venue,2019,CNG,Manual,2470000.0,29.2,1000,7,12800.0
196,Mahindra,Thar,2024,Diesel,Automatic,3280000.0,20.1,1500,5,9400.0
197,Toyota,Fortuner,2024,Petrol,Automatic,2030000.0,15.7,1800,7,23000.0
198,Honda,Amaze,2018,Diesel,Automatic,1010000.0,22.2,2000,5,8100.0
199,Honda,Civic,2015,Electric,Automatic,2860000.0,18.7,2500,4,16600.0
200,Renault,Lodgy,2019,Electric,Manual,2590000.0,24.7,2500,6,21100.0
201,Toyota,Glanza,2017,Electric,Automatic,2150000.0,12.0,2000,7,17700.0
202,Volkswagen,Tiguan,2018,Petrol,Manual,1090000.0,28.1,800,4,24500.0
